"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","units",,,71.7891642869406,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","units",,,71.9673232119171,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","units",,,70.4086078995862,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","units",,,69.6080616526465,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","units",,,68.7875369073781,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","units",,,68.2306779396267,,
"AUS","Australia","MEN","Men","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","units",,,67.3951596658087,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2000","2000","PC","Percentage","0","units",,,12.8937524800239,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2001","2001","PC","Percentage","0","units",,,14.593772757389,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2002","2002","PC","Percentage","0","units",,,13.7916455711645,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2003","2003","PC","Percentage","0","units",,,12.6078289394263,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2004","2004","PC","Percentage","0","units",,,11.8463691212164,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2005","2005","PC","Percentage","0","units",,,10.8854702860649,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2006","2006","PC","Percentage","0","units",,,10.5515548500714,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","units",,,9.47632425997157,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","units",,,9.01704791551592,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","units",,,12.4821172770148,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","units",,,11.9466376390923,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","units",,,11.9392903454332,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","units",,,12.4513612819505,,
"AUS","Australia","MEN","Men","1524","15 to 24","UR","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","units",,,13.0367473683307,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2000","2000","PC","Percentage","0","units",,,85.5807717320226,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2001","2001","PC","Percentage","0","units",,,85.264271166353,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2002","2002","PC","Percentage","0","units",,,85.6125975048837,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2003","2003","PC","Percentage","0","units",,,85.727560956628,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2004","2004","PC","Percentage","0","units",,,86.3166703064029,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2005","2005","PC","Percentage","0","units",,,87.0124778154371,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2006","2006","PC","Percentage","0","units",,,87.2223309686751,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2007","2007","PC","Percentage","0","units",,,88.1055541953209,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2008","2008","PC","Percentage","0","units",,,88.2903144353793,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2009","2009","PC","Percentage","0","units",,,86.2789810833599,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2010","2010","PC","Percentage","0","units",,,87.1719205289568,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2011","2011","PC","Percentage","0","units",,,87.3635905383976,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2012","2012","PC","Percentage","0","units",,,86.7175563182793,,
"AUS","Australia","MEN","Men","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2013","2013","PC","Percentage","0","units",,,86.1486642903375,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","units",,,90.2240841388672,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","units",,,90.1374847752084,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","units",,,90.1790396580335,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","units",,,89.8444323955603,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","units",,,89.8734280986866,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","units",,,90.3110163354764,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","units",,,90.3296855761429,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","units",,,90.7844073772902,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","units",,,90.9332213595333,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","units",,,90.354468175204,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","units",,,90.5634032400412,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","units",,,90.599204223508,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","units",,,90.1365384907275,,
"AUS","Australia","MEN","Men","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","units",,,90.1441854582242,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2000","2000","PC","Percentage","0","units",,,5.14642232299962,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2001","2001","PC","Percentage","0","units",,,5.40642288944344,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2002","2002","PC","Percentage","0","units",,,5.06375114490696,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2003","2003","PC","Percentage","0","units",,,4.58222210231891,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2004","2004","PC","Percentage","0","units",,,3.95751877671583,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2005","2005","PC","Percentage","0","units",,,3.6524209934548,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2006","2006","PC","Percentage","0","units",,,3.44001486072753,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","units",,,2.95078555818103,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","units",,,2.90642614947555,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","units",,,4.51055401481799,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","units",,,3.74487109555181,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","units",,,3.57134890183817,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","units",,,3.79311456785071,,
"AUS","Australia","MEN","Men","2554","25 to 54","UR","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","units",,,4.43236704350537,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2000","2000","PC","Percentage","0","units",,,61.6931569698972,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2001","2001","PC","Percentage","0","units",,,61.1431781088342,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2002","2002","PC","Percentage","0","units",,,61.0174186233564,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2003","2003","PC","Percentage","0","units",,,61.8188061139198,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2004","2004","PC","Percentage","0","units",,,62.1625553594343,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2005","2005","PC","Percentage","0","units",,,63.2882256094602,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2006","2006","PC","Percentage","0","units",,,63.698921873469,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2007","2007","PC","Percentage","0","units",,,64.1328155934387,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2008","2008","PC","Percentage","0","units",,,64.5094051318055,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2009","2009","PC","Percentage","0","units",,,61.1798089724424,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2010","2010","PC","Percentage","0","units",,,60.5204366035417,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2011","2011","PC","Percentage","0","units",,,60.3889268599848,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2012","2012","PC","Percentage","0","units",,,59.6013053559419,,
"AUS","Australia","MW","All persons","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2013","2013","PC","Percentage","0","units",,,58.680528428546,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","units",,,70.1812518753732,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","units",,,70.6711242646873,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","units",,,69.9757179239044,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","units",,,70.2217925982258,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","units",,,70.1398084123744,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","units",,,70.8101299596315,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","units",,,70.8013751574961,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","units",,,70.7602855928579,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","units",,,70.7474673590046,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","units",,,69.1002000017073,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","units",,,68.4255106077069,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","units",,,68.142602019365,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","units",,,67.5204410584259,,
"AUS","Australia","MW","All persons","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","units",,,66.8402310537125,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2000","2000","PC","Percentage","0","units",,,12.0945333385461,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2001","2001","PC","Percentage","0","units",,,13.4820922335518,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2002","2002","PC","Percentage","0","units",,,12.8020112780977,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2003","2003","PC","Percentage","0","units",,,11.9663514322166,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2004","2004","PC","Percentage","0","units",,,11.3733601980194,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2005","2005","PC","Percentage","0","units",,,10.62263881518,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2006","2006","PC","Percentage","0","units",,,10.0315188345253,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","units",,,9.36608712626252,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","units",,,8.81736471998958,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","units",,,11.462182495954,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","units",,,11.5528169741928,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","units",,,11.3786015350232,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","units",,,11.7285011447593,,
"AUS","Australia","MW","All persons","1524","15 to 24","UR","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","units",,,12.2077714222882,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2000","2000","PC","Percentage","0","units",,,76.2297783330814,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2001","2001","PC","Percentage","0","units",,,76.2808380754338,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2002","2002","PC","Percentage","0","units",,,76.7268444195779,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2003","2003","PC","Percentage","0","units",,,77.2749652951211,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2004","2004","PC","Percentage","0","units",,,77.4509607632138,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2005","2005","PC","Percentage","0","units",,,78.765629330896,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2006","2006","PC","Percentage","0","units",,,79.1801661150746,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2007","2007","PC","Percentage","0","units",,,79.929133346111,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2008","2008","PC","Percentage","0","units",,,80.3120908780031,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2009","2009","PC","Percentage","0","units",,,79.1503030092888,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2010","2010","PC","Percentage","0","units",,,79.4642979434358,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2011","2011","PC","Percentage","0","units",,,79.8024440145589,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2012","2012","PC","Percentage","0","units",,,79.4520722190042,,
"AUS","Australia","MW","All persons","2554","25 to 54","EPR","Employment/population ratio","A","Annual","2013","2013","PC","Percentage","0","units",,,79.1554139355969,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","units",,,80.27832710737,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","units",,,80.5535744420061,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","units",,,80.7974400128416,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","units",,,81.0974919383651,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","units",,,80.7949844899324,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","units",,,81.9298884264293,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","units",,,82.2132779350553,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","units",,,82.7296887334419,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","units",,,83.1085065941714,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","units",,,82.9108819361756,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","units",,,82.811321396502,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","units",,,83.0727548616907,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","units",,,82.8069928220259,,
"AUS","Australia","MW","All persons","2554","25 to 54","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","units",,,82.9306712430463,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2000","2000","PC","Percentage","0","units",,,5.04314043424666,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2001","2001","PC","Percentage","0","units",,,5.30421697133805,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2002","2002","PC","Percentage","0","units",,,5.03802545305495,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2003","2003","PC","Percentage","0","units",,,4.7134955124743,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2004","2004","PC","Percentage","0","units",,,4.13890014068296,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2005","2005","PC","Percentage","0","units",,,3.86215477197281,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2006","2006","PC","Percentage","0","units",,,3.68932111231079,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2007","2007","PC","Percentage","0","units",,,3.3851878693203,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2008","2008","PC","Percentage","0","units",,,3.36477676084779,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2009","2009","PC","Percentage","0","units",,,4.53568800508203,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2010","2010","PC","Percentage","0","units",,,4.04174622095533,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2011","2011","PC","Percentage","0","units",,,3.93668279398772,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2012","2012","PC","Percentage","0","units",,,4.05149431067053,,
"AUS","Australia","MW","All persons","2554","25 to 54","UR","Unemployment rate","A","Annual","2013","2013","PC","Percentage","0","units",,,4.55230525794883,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2000","2000","PC","Percentage","0","units",,,60.7647138734306,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2001","2001","PC","Percentage","0","units",,,60.5787366533103,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2002","2002","PC","Percentage","0","units",,,60.2195201481538,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2003","2003","PC","Percentage","0","units",,,61.2217288472875,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2004","2004","PC","Percentage","0","units",,,61.5646764659368,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2005","2005","PC","Percentage","0","units",,,62.3716692936892,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2006","2006","PC","Percentage","0","units",,,62.9033389291404,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2007","2007","PC","Percentage","0","units",,,63.2442914541616,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2008","2008","PC","Percentage","0","units",,,63.4957612435255,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2009","2009","PC","Percentage","0","units",,,60.7183310225651,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2010","2010","PC","Percentage","0","units",,,59.7139556383518,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2011","2011","PC","Percentage","0","units",,,60.195316813941,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2012","2012","PC","Percentage","0","units",,,59.4618998930446,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","EPR","Employment/population ratio","A","Annual","2013","2013","PC","Percentage","0","units",,,58.7550792495885,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","units",,,68.4534873136172,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","units",,,69.0646502500722,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","units",,,68.2234130918181,,
"AUS","Australia","WOMEN","Women","1524","15 to 24","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","units",,,69.0076801961727,,
